time,elevation,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,0,0
08:00:00,0,0
08:10:00,0,0
08:20:00,0,0
08:30:00,0,10
08:40:00,0,10
08:50:00,0,10
09:00:00,0,10
09:10:00,0,10
09:20:00,0,10
09:30:00,0,10
09:40:00,0,10
09:50:00,0,10
10:00:00,0,10
10:10:00,0,10
10:20:00,0,10
10:30:00,0,10
10:40:00,0,10
10:50:00,0,10
11:00:00,0,10
11:10:00,0,10
11:20:00,0,10
11:30:00,0,10
11:40:00,0,10
11:50:00,0,10
12:00:00,0,10
12:10:00,0,10
12:20:00,0,10
12:30:00,0,10
12:40:00,0,10
12:50:00,0,10
13:00:00,0,50
13:10:00,30,80
13:20:00,0,130
13:30:00,0,130
13:40:00,0,130
13:50:00,0,130
14:00:00,0,130
14:10:00,0,130
14:20:00,0,130
14:30:00,0,130
14:40:00,0,130
14:50:00,0,130
15:00:00,0,130
15:10:00,0,130
15:20:00,0,130
15:30:00,0,130
15:40:00,0,130
15:50:00,0,130
16:00:00,0,140
16:10:00,0,150
16:20:00,0,150
16:30:00,0,170
16:40:00,0,190
16:50:00,0,210
17:00:00,0,220
17:10:00,10,250
17:20:00,0,260
17:30:00,0,260
17:40:00,0,270
17:50:00,0,270
18:00:00,0,270
18:10:00,0,270
18:20:00,0,270
18:30:00,0,290
18:40:00,0,300
18:50:00,0,310
19:00:00,0,310
19:10:00,0,310
19:20:00,0,310
19:30:00,0,310
19:40:00,0,320
19:50:00,0,320
20:00:00,0,320
20:10:00,10,330
20:20:00,0,330
20:30:00,0,330
20:40:00,0,330
20:50:00,0,330
21:00:00,0,330
21:10:00,0,330
21:20:00,0,330
21:30:00,0,330
21:40:00,0,330
21:50:00,0,330
22:00:00,0,330
22:10:00,0,340
22:20:00,0,340
22:30:00,0,340
22:40:00,0,340
22:50:00,0,340
23:00:00,0,340
23:10:00,0,340
23:20:00,0,350
23:30:00,0,350
23:40:00,0,350
23:50:00,0,350
