time,steps,total
00:00:00,67,67
00:10:00,109,460
00:20:00,22,637
00:30:00,0,647
00:40:00,0,1083
00:50:00,93,1488
01:00:00,24,2195
01:10:00,0,2195
01:20:00,0,2195
01:30:00,0,2195
01:40:00,0,2195
01:50:00,0,2195
02:00:00,0,2195
02:10:00,0,2195
02:20:00,0,2195
02:30:00,0,2195
02:40:00,0,2195
02:50:00,0,2195
03:00:00,0,2195
03:10:00,0,2195
03:20:00,0,2195
03:30:00,0,2195
03:40:00,0,2195
03:50:00,0,2195
04:00:00,0,2195
04:10:00,0,2195
04:20:00,0,2195
04:30:00,0,2195
04:40:00,0,2195
04:50:00,0,2195
05:00:00,0,2195
05:10:00,0,2195
05:20:00,0,2195
05:30:00,0,2195
05:40:00,0,2195
05:50:00,0,2195
06:00:00,0,2195
06:10:00,0,2195
06:20:00,0,2195
06:30:00,0,2195
06:40:00,0,2195
06:50:00,0,2195
07:00:00,0,2195
07:10:00,0,2195
07:20:00,0,2201
07:30:00,0,2201
07:40:00,0,2201
07:50:00,0,2201
08:00:00,0,2201
08:10:00,0,2201
08:20:00,0,2201
08:30:00,0,2201
08:40:00,0,2201
08:50:00,0,2201
09:00:00,0,2201
09:10:00,0,2201
09:20:00,0,2201
09:30:00,0,2201
09:40:00,0,2201
09:50:00,0,2209
10:00:00,0,2254
10:10:00,0,2254
10:20:00,0,2254
10:30:00,0,2337
10:40:00,0,2358
10:50:00,15,2373
11:00:00,0,2373
11:10:00,0,2373
11:20:00,0,2373
11:30:00,0,2422
11:40:00,0,2429
11:50:00,0,2429
12:00:00,0,2429
12:10:00,0,2429
12:20:00,0,2429
12:30:00,0,2429
12:40:00,0,2429
12:50:00,0,2429
13:00:00,0,2429
13:10:00,0,2429
13:20:00,0,2429
13:30:00,0,2429
13:40:00,0,2429
13:50:00,0,2429
14:00:00,0,2429
14:10:00,0,2429
14:20:00,0,2429
14:30:00,0,2429
14:40:00,0,2429
14:50:00,0,2429
15:00:00,0,2429
15:10:00,0,2429
15:20:00,0,2429
15:30:00,0,2429
15:40:00,0,2429
15:50:00,0,2429
16:00:00,0,2429
16:10:00,0,2429
16:20:00,0,2429
16:30:00,0,2429
16:40:00,0,2429
16:50:00,0,2429
17:00:00,0,2429
17:10:00,0,2429
17:20:00,0,2429
17:30:00,0,2429
17:40:00,0,2429
17:50:00,0,2429
18:00:00,0,2429
18:10:00,0,2429
18:20:00,0,2429
18:30:00,0,2429
18:40:00,0,2429
18:50:00,0,2429
19:00:00,0,2429
19:10:00,0,2429
19:20:00,0,2429
19:30:00,0,2429
19:40:00,0,2429
19:50:00,0,2429
20:00:00,0,2429
20:10:00,0,2429
20:20:00,0,2429
20:30:00,0,2429
20:40:00,0,2429
20:50:00,0,2429
21:00:00,0,2429
21:10:00,0,2429
21:20:00,0,2429
21:30:00,0,2429
21:40:00,0,2429
21:50:00,0,2429
22:00:00,0,2429
22:10:00,0,2429
22:20:00,0,2429
22:30:00,0,2429
22:40:00,0,2429
22:50:00,0,2429
23:00:00,0,2429
23:10:00,0,2429
23:20:00,0,2429
23:30:00,0,2429
23:40:00,0,2429
23:50:00,0,2429
