time,heart,total
07:58:00,103,103
08:08:00,77,1036
08:18:00,79,1812
08:28:00,75,2575
08:38:00,98,3460
08:48:00,69,4173
08:58:00,64,4893
09:08:00,68,5569
09:18:00,72,6353
09:28:00,71,7057
09:38:00,90,7802
09:49:00,90,8658
09:59:00,75,9420
10:09:00,74,10184
10:20:00,80,10980
10:30:00,80,11743
10:40:00,84,12484
10:50:00,77,13352
11:00:00,74,14086
11:10:00,74,14819
11:20:00,76,15620
11:30:00,85,16434
11:40:00,71,17304
11:50:00,74,18013
12:00:00,73,18743
12:10:00,80,19569
12:20:00,102,20375
12:30:00,77,21166
12:40:00,79,21941
12:50:00,86,22767
13:00:00,85,23634
13:10:00,86,24502
13:20:00,85,25359
13:30:00,79,26205
13:40:00,77,26990
13:50:00,107,27976
14:00:00,77,28975
14:10:00,80,29755
14:20:00,64,30490
14:30:00,86,31188
14:40:00,63,31906
14:50:00,68,32585
15:02:00,100,33459
15:13:00,98,34448
15:23:00,89,35401
15:33:00,103,36408
15:43:00,84,37294
15:53:00,101,38227
16:03:00,113,39180
16:13:00,100,40258
16:23:00,99,41203
16:33:00,108,42155
16:43:00,85,43059
16:53:00,78,43862
17:03:00,77,44708
17:13:00,77,45499
19:17:00,99,46389
19:28:00,69,47313
19:38:00,73,48009
19:48:00,79,48774
19:58:00,103,49799
20:09:00,69,50570
20:19:00,70,51284
20:29:00,75,52032
20:39:00,72,52765
20:49:00,73,53515
20:59:00,76,54265
21:09:00,77,55006
21:19:00,76,55757
21:29:00,73,56536
21:39:00,76,57341
21:49:00,62,57993
21:59:00,65,58634
22:09:00,69,59305
22:19:00,67,59987
22:29:00,69,60657
22:39:00,67,61325
22:49:00,70,61999
22:59:00,71,62710
23:09:00,67,63403
23:19:00,75,64091
23:29:00,64,64730
23:39:00,64,65380
23:49:00,65,66014
23:59:00,66,66667
