time,heart,total
00:00:00,99,99
00:10:00,106,1141
00:21:00,89,2175
00:31:00,115,3224
00:41:00,109,4371
00:51:00,114,5553
01:01:00,126,6831
01:11:00,121,8029
01:22:00,110,9180
01:35:00,112,10150
01:45:00,126,11273
01:55:00,127,12460
03:05:00,106,13610
03:15:00,87,14603
03:25:00,108,15651
03:35:00,85,16589
03:45:00,77,17401
03:55:00,73,18121
04:05:00,74,18842
04:15:00,74,19585
04:25:00,74,20326
04:35:00,89,21097
04:45:00,75,21853
04:55:00,74,22603
05:05:00,76,23359
05:15:00,76,24113
05:25:00,78,24900
05:35:00,79,25686
05:45:00,74,26465
05:55:00,78,27234
06:05:00,77,28003
06:15:00,77,28773
06:25:00,77,29546
06:35:00,77,30310
06:45:00,80,31094
06:55:00,76,31881
07:05:00,79,32685
07:15:00,77,33469
07:25:00,80,34260
07:35:00,76,35086
07:45:00,83,35864
07:55:00,81,36663
08:06:00,84,37530
08:16:00,79,38336
08:26:00,79,39117
08:36:00,77,39900
08:46:00,78,40672
08:56:00,77,41439
09:06:00,74,42203
09:16:00,75,42957
09:26:00,77,43709
09:36:00,70,44445
09:46:00,75,45186
09:56:00,75,45939
10:06:00,75,46693
10:16:00,74,47439
10:26:00,68,48162
10:36:00,69,48854
10:46:00,73,49552
10:56:00,72,50270
11:06:00,68,50963
11:16:00,66,51661
11:26:00,67,52365
11:36:00,66,53059
11:46:00,83,53768
11:56:00,71,54464
12:06:00,70,55154
12:16:00,77,55873
12:26:00,81,56628
13:23:00,97,57523
13:33:00,92,58437
13:43:00,91,59386
13:53:00,77,60182
14:03:00,76,60951
14:13:00,78,61694
14:23:00,76,62438
14:33:00,76,63172
14:43:00,68,63906
14:53:00,90,64695
15:03:00,90,65671
15:13:00,93,66624
15:23:00,93,67547
15:33:00,95,68494
15:43:00,76,69308
15:53:00,65,69986
16:03:00,71,70664
16:13:00,76,71482
16:23:00,113,72440
16:33:00,81,73399
16:43:00,67,74148
16:53:00,101,75000
17:03:00,94,75963
17:13:00,80,76768
17:23:00,69,77541
17:33:00,71,78257
17:43:00,80,79031
17:54:00,100,79989
18:04:00,84,80903
18:14:00,88,81788
18:24:00,80,82577
18:34:00,78,83298
18:44:00,83,84186
18:54:00,86,85026
19:04:00,83,85874
19:14:00,77,86811
19:24:00,87,87607
19:34:00,82,88434
19:44:00,77,89227
19:54:00,81,90017
20:04:00,90,90866
20:14:00,88,91749
20:24:00,91,92633
20:34:00,94,93519
20:44:00,82,94412
20:54:00,111,95307
21:04:00,88,96128
21:14:00,76,96868
21:36:00,104,97698
21:46:00,80,98512
21:56:00,83,99342
22:06:00,76,100124
22:16:00,80,100904
22:26:00,77,101669
22:36:00,68,102404
22:46:00,72,103116
22:56:00,72,103893
23:06:00,71,104652
23:16:00,63,105341
23:26:00,71,106045
23:36:00,72,106766
23:46:00,73,107461
23:56:00,69,108139
