time,heart,total
00:00:00,79,79
00:10:00,85,938
00:20:00,84,1786
07:53:00,105,2672
08:03:00,88,3610
08:13:00,82,4461
08:23:00,111,5504
08:33:00,94,6384
08:43:00,89,7273
08:53:00,101,8437
09:03:00,90,9327
09:13:00,77,10158
09:23:00,70,10889
09:33:00,69,11622
09:43:00,65,12286
09:53:00,75,13026
10:03:00,77,13792
10:13:00,78,14548
10:23:00,71,15322
10:33:00,71,16063
10:43:00,81,16805
10:53:00,73,17582
11:03:00,78,18347
11:13:00,71,19052
11:23:00,70,19765
11:33:00,77,20501
11:43:00,71,21251
11:53:00,71,21914
12:03:00,72,22624
12:13:00,73,23346
12:23:00,62,24025
12:33:00,64,24654
12:43:00,72,25381
12:53:00,74,26088
13:03:00,71,26804
13:13:00,81,27529
13:23:00,70,28220
13:33:00,72,28931
13:43:00,73,29641
13:53:00,71,30325
14:03:00,68,31002
14:13:00,68,31640
14:23:00,72,32334
14:33:00,76,33074
14:43:00,74,33787
14:53:00,67,34480
15:03:00,64,35272
15:13:00,64,35938
15:23:00,63,36575
15:33:00,69,37247
15:43:00,63,37929
15:53:00,64,38599
16:03:00,66,39312
16:13:00,83,40017
16:23:00,75,40792
16:33:00,65,41475
16:43:00,94,42427
16:53:00,82,43249
17:03:00,117,44235
17:13:00,83,45165
17:23:00,62,45785
17:33:00,84,46512
17:43:00,75,47255
17:53:00,71,47983
18:03:00,76,48653
18:13:00,107,49444
18:23:00,109,50508
18:33:00,100,51481
18:43:00,98,52508
18:53:00,85,53339
19:03:00,102,54241
19:13:00,98,55122
19:23:00,112,56193
19:33:00,117,57295
19:43:00,106,58291
19:53:00,96,59332
20:03:00,79,60208
20:13:00,98,61081
20:24:00,76,61942
20:34:00,82,62664
20:44:00,80,63467
20:54:00,81,64268
21:04:00,80,65065
21:14:00,91,65918
21:24:00,77,66765
21:34:00,75,67514
21:44:00,65,68222
21:54:00,68,68884
22:04:00,91,69723
22:15:00,90,70623
22:25:00,64,71347
22:35:00,62,71967
22:45:00,64,72607
22:55:00,61,73262
23:05:00,66,73916
23:15:00,64,74566
23:25:00,68,75231
23:35:00,67,75897
23:45:00,71,76612
23:55:00,67,77285
