time,heart,total
00:00:00,110,110
00:10:00,97,1095
00:20:00,102,2103
00:30:00,73,2962
00:40:00,99,3770
00:50:00,96,4779
01:00:00,97,5770
01:10:00,91,6718
01:20:00,85,7579
01:30:00,86,8461
01:42:00,86,9332
01:53:00,77,10221
02:03:00,75,10970
02:13:00,68,11659
02:23:00,71,12363
02:33:00,68,13077
02:43:00,69,13766
02:53:00,72,14475
03:03:00,71,15172
03:13:00,70,15871
03:23:00,69,16574
03:33:00,69,17264
03:43:00,74,17976
03:53:00,72,18705
04:03:00,71,19410
04:13:00,68,20112
04:23:00,69,20800
04:33:00,69,21506
04:43:00,70,22202
04:53:00,67,22913
05:03:00,70,23597
05:18:00,71,24325
05:28:00,71,25025
05:38:00,69,25750
05:48:00,76,26497
05:58:00,68,27184
06:08:00,60,27833
06:20:00,89,28576
06:30:00,76,29324
06:40:00,108,30202
06:50:00,106,31359
07:00:00,108,32332
07:11:00,105,33228
07:21:00,95,34246
07:31:00,99,35236
07:41:00,97,36220
07:51:00,95,37191
08:01:00,94,38137
08:11:00,84,39014
08:21:00,84,39852
08:31:00,82,40668
08:41:00,79,41487
08:51:00,76,42282
09:01:00,80,43081
09:11:00,80,43900
09:21:00,91,44771
09:31:00,92,45689
09:41:00,92,46612
09:51:00,84,47494
10:01:00,82,48313
10:11:00,87,49179
10:21:00,90,50038
10:31:00,93,50931
10:42:00,92,51844
10:52:00,90,52748
11:02:00,92,53626
11:12:00,84,54497
11:22:00,86,55358
11:32:00,88,56230
11:42:00,86,57076
11:52:00,83,57936
12:02:00,74,58739
12:12:00,80,59529
12:23:00,111,60532
12:34:00,104,61574
12:46:00,87,62496
12:56:00,91,63415
13:06:00,87,64292
13:16:00,83,65169
13:26:00,86,66004
13:36:00,90,66901
13:46:00,84,67798
13:56:00,92,68692
14:06:00,85,69568
14:16:00,88,70453
14:26:00,99,71348
14:36:00,89,72358
14:47:00,102,73325
14:57:00,110,74275
15:07:00,116,75406
15:17:00,98,76408
15:28:00,105,77486
15:38:00,92,78564
15:48:00,87,79471
15:59:00,92,80550
16:09:00,96,81436
16:19:00,98,82458
16:29:00,96,83377
16:39:00,86,84402
16:49:00,104,85507
16:59:00,107,86591
17:09:00,111,87638
17:19:00,102,88721
17:29:00,98,89687
17:39:00,84,90578
17:49:00,86,91518
17:59:00,71,92509
18:09:00,90,93352
18:19:00,113,94304
18:33:00,98,95377
18:43:00,86,96262
18:53:00,113,97190
19:03:00,98,98219
19:13:00,94,99129
19:23:00,102,100107
19:33:00,111,101107
19:45:00,72,101862
19:55:00,78,102639
20:05:00,82,103419
20:15:00,94,104198
20:25:00,96,105095
20:36:00,91,106102
20:46:00,106,107168
20:57:00,109,108178
21:07:00,86,109195
21:18:00,92,110176
21:28:00,103,111168
21:38:00,86,112140
21:48:00,81,112986
21:58:00,82,113806
22:08:00,93,114702
22:18:00,94,115625
22:28:00,96,116590
22:39:00,89,117498
22:49:00,90,118391
22:59:00,87,119276
23:09:00,96,120170
23:19:00,87,121080
23:29:00,89,122130
23:39:00,83,122995
23:49:00,112,123962
23:59:00,93,124982
