time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,0,0
08:00:00,0,0
08:10:00,0,0
08:20:00,0,0
08:30:00,0,0
08:40:00,0,0
08:50:00,0,0
09:00:00,0,0
09:10:00,0,13
09:20:00,0,28
09:30:00,0,110
09:40:00,9,150
09:50:00,102,582
10:00:00,77,1418
10:10:00,103,2219
10:20:00,0,2488
10:30:00,0,2678
10:40:00,0,2739
10:50:00,7,2869
11:00:00,15,2962
11:10:00,0,3039
11:20:00,11,3086
11:30:00,19,3208
11:40:00,0,3303
11:50:00,0,3366
12:00:00,0,3627
12:10:00,86,3920
12:20:00,99,4605
12:30:00,65,5093
12:40:00,109,5954
12:50:00,0,6201
13:00:00,0,6209
13:10:00,0,6239
13:20:00,0,6286
13:30:00,60,6567
13:40:00,17,6771
13:50:00,37,7577
14:00:00,109,8304
14:10:00,104,9327
14:20:00,84,9931
14:30:00,21,10115
14:40:00,0,10423
14:50:00,0,10458
15:00:00,92,10880
15:10:00,107,11787
15:20:00,110,12838
15:30:00,85,13434
15:40:00,90,14468
15:50:00,100,14991
16:00:00,65,15956
16:10:00,85,16684
16:20:00,31,17414
16:30:00,21,17707
16:40:00,0,17766
16:50:00,0,17766
17:00:00,61,18134
17:10:00,81,18721
17:20:00,0,19271
17:30:00,0,19305
17:40:00,0,19345
17:50:00,0,19345
18:00:00,0,19345
18:10:00,27,19395
18:20:00,0,19430
18:30:00,0,19439
18:40:00,0,19443
18:50:00,0,19443
19:00:00,0,19443
19:10:00,0,19497
19:20:00,0,19497
19:30:00,0,19497
19:40:00,0,19497
19:50:00,0,19497
20:00:00,6,19605
20:10:00,29,19731
20:20:00,0,19987
20:30:00,21,20029
20:40:00,111,20868
20:50:00,0,21544
21:00:00,0,22022
21:10:00,16,22068
21:20:00,82,22893
21:30:00,26,22957
21:40:00,0,22966
21:50:00,0,22989
22:00:00,0,23012
22:10:00,0,23068
22:20:00,0,23082
22:30:00,0,23123
22:40:00,0,23172
22:50:00,0,23189
23:00:00,0,23189
23:10:00,18,23295
23:20:00,114,23849
23:30:00,111,24525
23:40:00,0,24998
23:50:00,11,25106
