time,steps,total
00:00:00,0,0
00:10:00,0,180
00:20:00,0,180
00:30:00,115,859
00:40:00,0,1096
00:50:00,0,1157
01:00:00,0,1157
01:10:00,0,1157
01:20:00,0,1157
01:30:00,0,1157
01:40:00,0,1157
01:50:00,0,1157
02:00:00,0,1157
02:10:00,0,1157
02:20:00,0,1157
02:30:00,0,1157
02:40:00,0,1157
02:50:00,0,1165
03:00:00,0,1165
03:10:00,0,1165
03:20:00,0,1165
03:30:00,0,1165
03:40:00,0,1165
03:50:00,0,1165
04:00:00,0,1165
04:10:00,0,1165
04:20:00,0,1165
04:30:00,0,1165
04:40:00,0,1165
04:50:00,0,1165
05:00:00,0,1165
05:10:00,0,1165
05:20:00,0,1165
05:30:00,0,1165
05:40:00,0,1165
05:50:00,0,1165
06:00:00,0,1165
06:10:00,0,1165
06:20:00,0,1179
06:30:00,0,1179
06:40:00,0,1179
06:50:00,0,1179
07:00:00,0,1179
07:10:00,0,1179
07:20:00,0,1179
07:30:00,0,1179
07:40:00,0,1179
07:50:00,0,1179
08:00:00,0,1179
08:10:00,0,1179
08:20:00,0,1179
08:30:00,0,1179
08:40:00,0,1179
08:50:00,0,1179
09:00:00,0,1183
09:10:00,0,1219
09:20:00,15,1345
09:30:00,0,1353
09:40:00,0,1453
09:50:00,0,1453
10:00:00,11,1471
10:10:00,16,1495
10:20:00,0,1640
10:30:00,0,1640
10:40:00,0,1693
10:50:00,11,1790
11:00:00,37,1895
11:10:00,113,2595
11:20:00,135,2982
11:30:00,28,3212
11:40:00,33,3463
11:50:00,0,3475
12:00:00,0,3475
12:10:00,0,3475
12:20:00,0,3482
12:30:00,0,3482
12:40:00,9,3491
12:50:00,93,3748
13:00:00,0,3877
13:10:00,0,3877
13:20:00,17,4066
13:30:00,0,4119
13:40:00,0,4137
13:50:00,0,4137
14:00:00,0,4155
14:10:00,0,4155
14:20:00,7,4176
14:30:00,0,4176
14:40:00,0,4176
14:50:00,0,4176
15:00:00,0,4176
15:10:00,5,4228
15:20:00,0,4228
15:30:00,0,4256
15:40:00,0,4260
15:50:00,0,4266
16:00:00,0,4266
16:10:00,0,4317
16:20:00,0,4329
16:30:00,0,4329
16:40:00,0,4329
16:50:00,0,4340
17:00:00,0,4340
17:10:00,0,4340
17:20:00,0,4340
17:30:00,0,4340
17:40:00,0,4374
17:50:00,79,4895
18:00:00,103,5360
18:10:00,90,6095
18:20:00,0,6626
18:30:00,24,6782
18:40:00,11,6956
18:50:00,34,7086
19:00:00,14,7223
19:10:00,34,7780
19:20:00,109,8635
19:30:00,0,8872
19:40:00,0,8872
19:50:00,0,8872
20:00:00,0,8872
20:10:00,0,8872
20:20:00,0,8872
20:30:00,0,8881
20:40:00,0,8881
20:50:00,0,8930
21:00:00,0,8930
21:10:00,18,8976
21:20:00,0,8976
21:30:00,0,8976
21:40:00,0,8976
21:50:00,110,9327
22:00:00,98,9964
22:10:00,0,10165
22:20:00,16,10192
22:30:00,111,10984
22:40:00,102,12078
22:50:00,0,12174
23:00:00,0,12174
23:10:00,0,12262
23:20:00,0,12262
23:30:00,0,12262
23:40:00,111,12767
23:50:00,39,13685
