time,steps,total
00:00:00,0,0
00:10:00,0,5
00:20:00,120,541
00:30:00,42,1353
00:40:00,0,1549
00:50:00,12,1577
01:00:00,45,1731
01:10:00,108,2624
01:20:00,7,3419
01:30:00,0,3419
01:40:00,0,3528
01:50:00,117,3864
02:00:00,75,4927
02:10:00,0,5163
02:20:00,0,5163
02:30:00,78,6090
02:40:00,0,6127
02:50:00,0,6163
03:00:00,0,6163
03:10:00,0,6163
03:20:00,0,6163
03:30:00,0,6163
03:40:00,0,6163
03:50:00,0,6163
04:00:00,0,6163
04:10:00,0,6163
04:20:00,0,6163
04:30:00,0,6163
04:40:00,0,6163
04:50:00,0,6163
05:00:00,0,6163
05:10:00,0,6163
05:20:00,0,6163
05:30:00,0,6163
05:40:00,0,6163
05:50:00,0,6163
06:00:00,0,6163
06:10:00,0,6163
06:20:00,0,6163
06:30:00,0,6163
06:40:00,0,6163
06:50:00,0,6163
07:00:00,0,6163
07:10:00,0,6163
07:20:00,0,6163
07:30:00,0,6163
07:40:00,0,6163
07:50:00,0,6163
08:00:00,0,6163
08:10:00,0,6169
08:20:00,0,6169
08:30:00,0,6169
08:40:00,0,6169
08:50:00,0,6169
09:00:00,0,6169
09:10:00,0,6169
09:20:00,0,6169
09:30:00,0,6169
09:40:00,0,6169
09:50:00,0,6169
10:00:00,0,6185
10:10:00,0,6199
10:20:00,11,6218
10:30:00,109,6922
10:40:00,97,7570
10:50:00,0,7823
11:00:00,0,7823
11:10:00,52,7997
11:20:00,25,8778
11:30:00,82,9243
11:40:00,83,10274
11:50:00,103,11331
12:00:00,103,12339
12:10:00,96,13071
12:20:00,11,13787
12:30:00,98,14811
12:40:00,69,15522
12:50:00,102,16477
13:00:00,0,16677
13:10:00,0,16677
13:20:00,27,16751
13:30:00,0,17358
13:40:00,67,17572
13:50:00,3,18093
14:00:00,74,18619
14:10:00,7,19224
14:20:00,77,19909
14:30:00,104,20917
14:40:00,50,21876
14:50:00,0,22677
15:00:00,0,22737
15:10:00,101,23205
15:20:00,82,24251
15:30:00,113,25266
15:40:00,114,26279
15:50:00,103,27280
16:00:00,112,28122
16:10:00,115,28946
16:20:00,0,29193
16:30:00,0,29484
16:40:00,58,29836
16:50:00,55,30011
17:00:00,0,30651
17:10:00,0,30920
17:20:00,0,30966
17:30:00,0,31021
17:40:00,113,31321
17:50:00,0,31457
18:00:00,63,32175
18:10:00,0,32471
18:20:00,26,32633
18:30:00,0,32637
18:40:00,65,32821
18:50:00,12,32999
19:00:00,56,33214
19:10:00,58,33852
19:20:00,86,34108
19:30:00,66,34529
19:40:00,0,35165
19:50:00,29,35221
20:00:00,101,36123
20:10:00,0,36635
20:20:00,0,36635
20:30:00,85,36905
20:40:00,84,37777
20:50:00,10,38207
21:00:00,113,38912
21:10:00,4,39901
21:20:00,107,40643
21:30:00,22,40852
21:40:00,0,40852
21:50:00,0,40852
22:00:00,0,40903
22:10:00,0,40903
22:20:00,31,40959
22:30:00,34,41136
22:40:00,117,41914
22:50:00,0,42183
23:00:00,0,42187
23:10:00,0,42187
23:20:00,0,42194
23:30:00,0,42208
23:40:00,0,42208
23:50:00,0,42220
