time,floors,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,1,1
00:40:00,0,2
00:50:00,0,2
01:00:00,0,2
01:10:00,0,2
01:20:00,0,2
01:30:00,0,2
01:40:00,0,2
01:50:00,0,2
02:00:00,0,2
02:10:00,0,2
02:20:00,0,2
02:30:00,3,5
02:40:00,0,5
02:50:00,0,5
03:00:00,0,5
03:10:00,0,5
03:20:00,0,5
03:30:00,0,5
03:40:00,0,5
03:50:00,0,5
04:00:00,0,5
04:10:00,0,5
04:20:00,0,5
04:30:00,0,5
04:40:00,0,5
04:50:00,0,5
05:00:00,0,5
05:10:00,0,5
05:20:00,0,5
05:30:00,0,5
05:40:00,0,5
05:50:00,0,5
06:00:00,0,5
06:10:00,0,5
06:20:00,0,5
06:30:00,0,5
06:40:00,0,5
06:50:00,0,5
07:00:00,0,5
07:10:00,0,5
07:20:00,0,5
07:30:00,0,5
07:40:00,0,5
07:50:00,0,5
08:00:00,0,5
08:10:00,0,5
08:20:00,0,5
08:30:00,0,5
08:40:00,0,5
08:50:00,0,5
09:00:00,0,5
09:10:00,0,5
09:20:00,0,5
09:30:00,0,5
09:40:00,0,5
09:50:00,0,5
10:00:00,0,5
10:10:00,0,5
10:20:00,0,5
10:30:00,1,7
10:40:00,0,7
10:50:00,0,8
11:00:00,0,8
11:10:00,0,9
11:20:00,0,9
11:30:00,0,9
11:40:00,0,9
11:50:00,0,9
12:00:00,0,9
12:10:00,0,9
12:20:00,0,9
12:30:00,1,12
12:40:00,0,12
12:50:00,0,12
13:00:00,0,12
13:10:00,0,12
13:20:00,0,12
13:30:00,0,12
13:40:00,2,15
13:50:00,0,15
14:00:00,0,17
14:10:00,0,18
14:20:00,0,25
14:30:00,1,33
14:40:00,0,35
14:50:00,0,41
15:00:00,0,41
15:10:00,0,44
15:20:00,0,51
15:30:00,0,52
15:40:00,1,66
15:50:00,0,75
16:00:00,0,77
16:10:00,0,80
16:20:00,0,80
16:30:00,0,80
16:40:00,0,80
16:50:00,1,81
17:00:00,0,83
17:10:00,0,83
17:20:00,0,83
17:30:00,0,83
17:40:00,0,83
17:50:00,0,83
18:00:00,0,85
18:10:00,0,86
18:20:00,0,86
18:30:00,0,86
18:40:00,0,86
18:50:00,0,86
19:00:00,0,86
19:10:00,0,86
19:20:00,0,86
19:30:00,0,86
19:40:00,0,86
19:50:00,0,86
20:00:00,0,88
20:10:00,0,88
20:20:00,0,88
20:30:00,0,88
20:40:00,0,88
20:50:00,0,88
21:00:00,0,88
21:10:00,0,88
21:20:00,0,88
21:30:00,0,91
21:40:00,0,91
21:50:00,0,91
22:00:00,0,91
22:10:00,0,91
22:20:00,0,91
22:30:00,0,91
22:40:00,0,91
22:50:00,0,91
23:00:00,0,91
23:10:00,0,91
23:20:00,0,91
23:30:00,0,91
23:40:00,0,91
23:50:00,0,91
