time,calories,total
00:00:00,1.46002995967865,1.46002995967865
00:10:00,1.46002995967865,29.312909841537476
00:20:00,1.23540997505188,42.228559613227844
00:30:00,7.187839984893799,91.64495933055878
00:40:00,1.46002995967865,130.0549794435501
00:50:00,1.1231000423431396,147.23840963840485
01:00:00,1.1231000423431396,158.46941006183624
01:10:00,1.1231000423431396,169.70041048526764
01:20:00,1.1231000423431396,180.93141090869904
01:30:00,1.1231000423431396,192.16241133213043
01:40:00,1.1231000423431396,203.6180317401886
01:50:00,1.1231000423431396,214.84903216362
02:00:00,1.1231000423431396,226.0800325870514
02:10:00,1.1231000423431396,237.3110330104828
02:20:00,1.1231000423431396,248.65434336662292
02:30:00,1.1231000423431396,260.1099637746811
02:40:00,1.1231000423431396,271.3409641981125
02:50:00,1.1231000423431396,284.14430463314056
03:00:00,1.1231000423431396,295.37530505657196
03:10:00,1.1231000423431396,306.60630548000336
03:20:00,1.1231000423431396,317.83730590343475
03:30:00,1.1231000423431396,329.06830632686615
03:40:00,1.1231000423431396,340.29930675029755
03:50:00,1.1231000423431396,351.53030717372894
04:00:00,1.1231000423431396,363.2105474472046
04:10:00,1.1231000423431396,374.441547870636
04:20:00,1.1231000423431396,385.6725482940674
04:30:00,1.1231000423431396,396.9035487174988
04:40:00,1.1231000423431396,408.1345491409302
04:50:00,1.1231000423431396,419.3655495643616
05:00:00,1.1231000423431396,430.59654998779297
05:10:00,1.1231000423431396,441.82755041122437
05:20:00,1.1231000423431396,453.05855083465576
05:30:00,1.1231000423431396,464.28955125808716
05:40:00,1.1231000423431396,475.52055168151855
05:50:00,1.1231000423431396,486.75155210494995
06:00:00,1.1231000423431396,498.0948624610901
06:10:00,1.1231000423431396,509.55048286914825
06:20:00,1.1231000423431396,524.2630929946899
06:30:00,1.1231000423431396,535.4940934181213
06:40:00,1.1231000423431396,546.7250938415527
06:50:00,1.3477200269699097,558.4053342342377
07:00:00,1.1231000423431396,569.6363346576691
07:10:00,1.3477200269699097,581.204264998436
07:20:00,1.1231000423431396,592.4352654218674
07:30:00,1.1231000423431396,603.6662658452988
07:40:00,1.1231000423431396,615.0095762014389
07:50:00,1.1231000423431396,626.352886557579
08:00:00,1.1231000423431396,637.5838869810104
08:10:00,1.1231000423431396,648.9271973371506
08:20:00,1.1231000423431396,660.158197760582
08:30:00,1.1231000423431396,671.6138181686401
08:40:00,1.1231000423431396,683.6309883594513
08:50:00,1.46002995967865,695.7604684829712
09:00:00,1.1231000423431396,709.125358581543
09:10:00,1.46002995967865,729.9027082920074
09:20:00,3.818540096282959,765.168048620224
09:30:00,1.46002995967865,781.2283784151077
09:40:00,1.1231000423431396,805.1504081487656
09:50:00,1.1231000423431396,816.381408572197
10:00:00,3.36929988861084,832.4417386054993
10:10:00,3.14468002319336,849.7374783754349
10:20:00,1.1231000423431396,876.3549482822418
10:30:00,1.1231000423431396,888.7090483903885
10:40:00,1.3477200269699097,909.7110183238983
10:50:00,3.14468002319336,936.6654181480408
11:00:00,3.818540096282959,964.2936781644821
11:10:00,7.187839984893799,1019.7748178243637
11:20:00,4.04315996170044,1054.927847623825
11:30:00,3.5939199924468994,1087.7223672866821
11:40:00,4.04315996170044,1120.7415071725845
11:50:00,1.46002995967865,1137.5880069732666
12:00:00,1.46002995967865,1152.188306570053
12:10:00,1.46002995967865,1166.7886061668396
12:20:00,1.46002995967865,1182.8489359617233
12:30:00,1.23540997505188,1196.7753756046295
12:40:00,2.9200599193573,1210.8141255378723
12:50:00,5.615499973297119,1239.6777957677841
13:00:00,1.46002995967865,1264.7229253053665
13:10:00,1.46002995967865,1279.2109149694443
13:20:00,4.04315996170044,1312.1177446842194
13:30:00,1.1231000423431396,1331.659684419632
13:40:00,1.3477200269699097,1345.5861247777939
13:50:00,1.3477200269699097,1358.8387050628662
14:00:00,1.3477200269699097,1374.449795126915
14:10:00,1.3477200269699097,1388.2639251947403
14:20:00,4.04315996170044,1407.0196950435638
14:30:00,1.3477200269699097,1421.1707549095154
14:40:00,1.46002995967865,1435.2095048427582
14:50:00,1.3477200269699097,1448.9113249778748
15:00:00,1.46002995967865,1462.613144993782
15:10:00,3.5939199924468994,1486.8721046447754
15:20:00,1.46002995967865,1501.2477843761444
15:30:00,1.3477200269699097,1519.7789340019226
15:40:00,1.46002995967865,1535.6146436929703
15:50:00,1.46002995967865,1551.4503532648087
16:00:00,1.46002995967865,1566.0506528615952
16:10:00,1.46002995967865,1585.7049026489258
16:20:00,1.46002995967865,1601.3159923553467
16:30:00,1.1231000423431396,1614.231642127037
16:40:00,1.46002995967865,1627.2596019506454
16:50:00,1.46002995967865,1643.0953116416931
17:00:00,1.3477200269699097,1657.3586814403534
17:10:00,1.3477200269699097,1671.1728113889694
17:20:00,1.46002995967865,1685.3238711357117
17:30:00,1.23540997505188,1698.3518308401108
17:40:00,1.46002995967865,1715.3106405735016
17:50:00,1.46002995967865,1757.426890015602
18:00:00,6.513979911804199,1797.5215594768524
18:10:00,6.289360046386719,1855.2488996982574
18:20:00,1.3477200269699097,1901.0713795423508
18:30:00,4.492400169372559,1933.9782094955444
18:40:00,4.26777982711792,1969.4681689739227
18:50:00,4.492400169372559,2000.0164886713028
19:00:00,3.818540096282959,2033.4848688840866
19:10:00,4.04315996170044,2079.1950385570526
19:20:00,6.73859977722168,2136.3608278036118
19:30:00,1.3477200269699097,2167.02145755291
19:40:00,1.46002995967865,2180.835587501526
19:50:00,1.3477200269699097,2194.76202750206
20:00:00,1.46002995967865,2208.9130873680115
20:10:00,1.1231000423431396,2222.390287399292
