time,steps,total
00:00:00,81,81
00:10:00,130,1297
00:20:00,112,2539
00:30:00,99,3365
00:40:00,82,4422
00:50:00,105,5408
01:00:00,108,6163
01:10:00,117,7045
01:20:00,126,7917
01:30:00,76,8756
01:40:00,13,9590
01:50:00,108,10500
02:00:00,8,11041
02:10:00,89,11938
02:20:00,0,11992
02:30:00,0,11992
02:40:00,0,11992
02:50:00,0,11992
03:00:00,0,12000
03:10:00,15,12031
03:20:00,0,12042
03:30:00,0,12042
03:40:00,0,12042
03:50:00,0,12042
04:00:00,0,12042
04:10:00,0,12042
04:20:00,0,12042
04:30:00,0,12042
04:40:00,0,12042
04:50:00,0,12042
05:00:00,0,12042
05:10:00,0,12042
05:20:00,0,12042
05:30:00,0,12042
05:40:00,0,12042
05:50:00,0,12042
06:00:00,0,12042
06:10:00,0,12042
06:20:00,0,12042
06:30:00,0,12042
06:40:00,0,12042
06:50:00,0,12042
07:00:00,0,12042
07:10:00,0,12042
07:20:00,0,12042
07:30:00,0,12042
07:40:00,0,12042
07:50:00,0,12042
08:00:00,0,12042
08:10:00,0,12042
08:20:00,0,12042
08:30:00,0,12042
08:40:00,0,12042
08:50:00,0,12042
09:00:00,0,12042
09:10:00,0,12102
09:20:00,0,12130
09:30:00,0,12203
09:40:00,0,12209
09:50:00,0,12209
10:00:00,0,12209
10:10:00,0,12242
10:20:00,0,12242
10:30:00,0,12242
10:40:00,0,12305
10:50:00,9,12388
11:00:00,22,12460
11:10:00,116,13225
11:20:00,9,13543
11:30:00,0,13649
11:40:00,0,13671
11:50:00,56,13727
12:00:00,111,14707
12:10:00,22,14825
12:20:00,57,15512
12:30:00,11,15609
12:40:00,0,16086
12:50:00,0,16319
13:00:00,0,16412
13:10:00,92,16683
13:20:00,108,17695
13:30:00,49,18721
13:40:00,100,19106
13:50:00,70,19969
14:00:00,7,20357
14:10:00,92,20762
14:20:00,108,21738
14:30:00,0,22366
14:40:00,0,22366
14:50:00,96,22507
15:00:00,106,23471
15:10:00,40,24208
15:20:00,0,24347
15:30:00,0,24347
15:40:00,0,24347
15:50:00,0,24347
16:00:00,18,24638
16:10:00,112,25382
16:20:00,109,26233
16:30:00,70,27058
16:40:00,105,27967
16:50:00,40,28508
17:00:00,0,28746
17:10:00,69,29121
17:20:00,4,29483
17:30:00,40,29652
17:40:00,71,30010
17:50:00,63,30487
18:00:00,10,30658
18:10:00,106,31446
18:20:00,107,32096
18:30:00,0,32215
18:40:00,0,32231
18:50:00,0,32231
19:00:00,0,32231
19:10:00,0,32231
19:20:00,0,32231
19:30:00,0,32231
19:40:00,0,32231
19:50:00,0,32238
20:00:00,0,32243
20:10:00,0,32270
20:20:00,0,32370
20:30:00,118,33359
20:40:00,25,33993
20:50:00,116,35112
21:00:00,0,35389
21:10:00,0,35389
21:20:00,0,35430
21:30:00,0,35464
21:40:00,7,35479
21:50:00,0,35493
22:00:00,25,35591
22:10:00,10,35681
22:20:00,0,35766
22:30:00,0,35833
22:40:00,0,35902
22:50:00,0,35949
23:00:00,9,35976
23:10:00,0,35989
23:20:00,41,36130
23:30:00,6,37018
23:40:00,107,37398
23:50:00,0,37962
