time,heart,total
00:00:00,107,107
00:10:00,139,1426
00:20:00,132,2786
00:30:00,114,3980
00:40:00,113,5105
00:50:00,120,6181
01:01:00,124,7413
01:11:00,125,8641
01:21:00,142,9811
01:31:00,114,11024
01:41:00,118,12235
01:51:00,113,13416
02:02:00,89,14329
02:12:00,92,15362
02:22:00,96,16047
02:32:00,101,17034
02:42:00,105,18040
02:52:00,103,19075
03:02:00,98,20053
03:17:00,79,20943
03:27:00,80,21735
03:37:00,81,22537
03:47:00,81,23343
03:57:00,82,24154
04:07:00,83,24986
04:17:00,83,25806
04:27:00,86,26646
04:37:00,83,27478
04:47:00,93,28349
04:57:00,84,29254
05:07:00,89,30129
05:17:00,88,31000
05:27:00,84,31846
05:37:00,85,32693
05:47:00,84,33533
05:57:00,83,34363
06:07:00,84,35203
06:17:00,89,36100
06:27:00,83,36963
06:38:00,89,37800
06:48:00,85,38642
06:58:00,77,39418
07:08:00,76,40198
07:18:00,74,40959
07:28:00,100,41764
07:38:00,77,42578
07:48:00,83,43383
07:58:00,80,44194
08:08:00,76,45018
08:18:00,70,45768
08:28:00,83,46533
08:38:00,80,47318
08:48:00,77,48080
08:58:00,89,48864
09:08:00,103,49803
09:18:00,82,50637
09:28:00,102,51551
10:06:00,90,52449
10:16:00,80,53365
10:26:00,81,54181
10:36:00,96,54998
10:46:00,99,55994
10:56:00,92,56926
11:06:00,114,57958
11:16:00,94,58957
11:26:00,87,59887
11:36:00,78,60709
11:46:00,79,61513
11:56:00,103,62446
12:06:00,85,63360
12:16:00,102,64322
12:26:00,92,65281
12:36:00,102,66238
12:46:00,106,67156
12:56:00,79,68088
13:06:00,90,68879
13:16:00,120,69956
13:26:00,95,70917
13:36:00,76,71775
13:46:00,96,72796
13:57:00,109,73752
14:08:00,96,74749
14:18:00,89,75733
14:28:00,85,76648
14:38:00,72,77397
14:48:00,72,78141
14:58:00,116,79230
15:08:00,99,80200
15:20:00,73,81088
15:30:00,64,81702
15:40:00,74,82385
15:50:00,71,83098
16:00:00,96,83965
16:12:00,83,84951
16:22:00,86,85897
16:32:00,90,86810
16:42:00,91,87719
16:52:00,98,88727
17:02:00,92,89659
17:13:00,102,90674
17:23:00,84,91584
17:33:00,96,92496
17:43:00,104,93480
17:53:00,87,94465
18:04:00,103,95425
18:14:00,91,96417
18:24:00,74,97357
18:34:00,67,98018
18:44:00,60,98704
18:54:00,65,99341
19:04:00,68,100042
19:14:00,68,100762
19:24:00,70,101481
19:34:00,80,102203
19:44:00,66,102940
19:54:00,71,103659
20:04:00,70,104383
20:14:00,87,105208
20:24:00,113,106228
20:34:00,100,107268
20:44:00,112,108224
20:54:00,82,109173
21:15:00,98,110101
21:26:00,87,110990
21:37:00,96,111941
21:48:00,94,112857
21:58:00,103,113792
22:08:00,97,114834
22:18:00,101,115814
22:28:00,102,116818
22:38:00,94,117849
22:48:00,93,118803
23:01:00,97,119782
23:11:00,102,120776
23:21:00,111,121784
23:31:00,90,122818
23:42:00,100,123741
23:53:00,72,124617
