time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,65
00:30:00,0,65
00:40:00,0,65
00:50:00,0,65
01:00:00,0,65
01:10:00,0,65
01:20:00,0,65
01:30:00,0,65
01:40:00,0,65
01:50:00,0,65
02:00:00,0,65
02:10:00,0,65
02:20:00,0,65
02:30:00,0,65
02:40:00,0,65
02:50:00,0,65
03:00:00,0,65
03:10:00,0,65
03:20:00,0,65
03:30:00,0,65
03:40:00,0,65
03:50:00,0,65
04:00:00,0,65
04:10:00,0,65
04:20:00,0,65
04:30:00,0,65
04:40:00,0,65
04:50:00,0,65
05:00:00,0,65
05:10:00,0,65
05:20:00,0,65
05:30:00,0,65
05:40:00,0,65
05:50:00,0,65
06:00:00,0,65
06:10:00,0,65
06:20:00,0,65
06:30:00,0,76
06:40:00,0,76
06:50:00,0,76
07:00:00,0,76
07:10:00,0,76
07:20:00,0,76
07:30:00,0,110
07:40:00,0,110
07:50:00,18,211
08:00:00,4,276
08:10:00,24,405
08:20:00,115,1233
08:30:00,0,1514
08:40:00,0,1719
08:50:00,113,2307
09:00:00,0,2536
09:10:00,0,2687
09:20:00,0,2687
09:30:00,0,2693
09:40:00,0,2720
09:50:00,0,2720
10:00:00,0,2742
10:10:00,13,2825
10:20:00,0,2897
10:30:00,0,2897
10:40:00,0,2897
10:50:00,0,2897
11:00:00,0,2897
11:10:00,0,2897
11:20:00,0,2897
11:30:00,0,2897
11:40:00,0,2897
11:50:00,0,2897
12:00:00,0,2897
12:10:00,0,2897
12:20:00,0,2897
12:30:00,0,2897
12:40:00,0,2897
12:50:00,0,2913
13:00:00,55,2976
13:10:00,0,3056
13:20:00,0,3056
13:30:00,0,3056
13:40:00,0,3056
13:50:00,6,3079
14:00:00,18,3325
14:10:00,0,3397
14:20:00,0,3397
14:30:00,0,3397
14:40:00,0,3397
14:50:00,0,3397
15:00:00,0,3397
15:10:00,10,3447
15:20:00,112,4279
15:30:00,0,4459
15:40:00,0,4476
15:50:00,14,4820
16:00:00,110,5685
16:10:00,0,5907
16:20:00,97,6889
16:30:00,0,7062
16:40:00,9,7088
16:50:00,0,7179
17:00:00,0,7188
17:10:00,0,7188
17:20:00,0,7196
17:30:00,0,7196
17:40:00,0,7196
17:50:00,0,7196
18:00:00,0,7196
18:10:00,0,7196
18:20:00,0,7196
18:30:00,0,7196
18:40:00,0,7211
18:50:00,0,7221
19:00:00,0,7247
19:10:00,0,7247
19:20:00,0,7247
19:30:00,0,7277
19:40:00,10,7302
19:50:00,0,7302
20:00:00,0,7354
20:10:00,0,7384
20:20:00,0,7395
20:30:00,0,7395
20:40:00,0,7409
20:50:00,0,7409
21:00:00,0,7429
21:10:00,0,7436
21:20:00,0,7456
21:30:00,0,7469
21:40:00,0,7517
21:50:00,0,7523
22:00:00,0,7523
22:10:00,0,7523
22:20:00,0,7523
22:30:00,4,7552
22:40:00,0,7552
22:50:00,0,7552
23:00:00,0,7552
23:10:00,0,7552
23:20:00,0,7552
23:30:00,0,7552
23:40:00,0,7552
23:50:00,0,7552
