time,heart,total
00:00:00,85,85
00:10:00,85,953
00:20:00,84,1816
00:30:00,88,2665
00:40:00,107,3560
00:50:00,102,4601
01:03:00,71,5433
01:16:00,92,6291
01:28:00,92,7163
01:40:00,81,8069
01:50:00,103,8935
02:00:00,100,9983
02:11:00,111,11025
02:22:00,105,12144
02:34:00,102,13167
02:47:00,98,14200
02:57:00,101,15274
03:07:00,107,16337
03:17:00,84,17402
03:27:00,77,18200
03:37:00,77,18971
03:47:00,78,19749
03:57:00,80,20538
04:07:00,78,21312
04:17:00,76,22082
04:27:00,80,22896
04:37:00,78,23698
04:47:00,78,24477
04:57:00,77,25241
05:07:00,76,26008
05:17:00,74,26760
05:27:00,71,27488
05:37:00,72,28208
05:47:00,71,28931
05:57:00,71,29659
06:07:00,73,30377
06:17:00,79,31142
06:27:00,77,31900
06:37:00,78,32659
06:47:00,74,33415
06:57:00,76,34191
07:07:00,76,34958
07:17:00,74,35724
07:27:00,84,36529
07:37:00,82,37295
07:47:00,79,38088
07:57:00,79,38885
08:07:00,79,39672
08:17:00,75,40412
08:27:00,75,41154
08:37:00,79,41921
08:47:00,81,42707
08:57:00,96,43591
09:20:00,73,44445
09:30:00,75,45250
09:40:00,73,45974
09:50:00,71,46706
10:00:00,111,47566
10:10:00,103,48591
10:20:00,83,49416
10:30:00,103,50343
10:40:00,96,51359
10:51:00,91,52311
11:01:00,67,53137
11:11:00,81,53877
11:21:00,84,54684
11:31:00,87,55540
11:43:00,102,56517
11:53:00,91,57539
12:03:00,112,58518
12:13:00,96,59550
12:23:00,96,60545
12:33:00,92,61524
12:43:00,99,62482
12:53:00,102,63498
13:03:00,110,64425
13:13:00,104,65508
13:23:00,112,66617
13:33:00,94,67616
13:43:00,102,68610
13:53:00,89,69716
14:03:00,99,70631
14:13:00,91,71548
14:23:00,82,72407
14:33:00,87,73270
14:43:00,88,74146
14:53:00,89,75034
15:03:00,79,75875
15:13:00,90,76736
15:23:00,80,77586
15:33:00,85,78425
15:43:00,86,79244
15:53:00,82,80062
16:03:00,84,80881
16:13:00,83,81688
16:23:00,77,82498
16:33:00,80,83277
16:43:00,81,84063
16:53:00,79,84888
17:03:00,83,85783
17:13:00,80,86595
17:23:00,85,87411
17:33:00,79,88205
17:43:00,82,89010
17:53:00,79,89816
18:03:00,82,90621
18:13:00,84,91447
18:23:00,85,92315
18:33:00,86,93138
18:43:00,74,93967
18:53:00,103,94840
19:05:00,120,95933
19:16:00,103,97027
19:26:00,99,98042
19:36:00,82,98891
19:46:00,92,99770
19:56:00,90,100643
20:06:00,82,101503
20:16:00,87,102347
20:26:00,82,103221
20:36:00,82,104042
20:46:00,86,104930
20:56:00,80,105731
21:06:00,81,106523
21:16:00,81,107335
21:26:00,80,108143
21:36:00,77,108925
21:46:00,82,109699
21:56:00,75,110440
22:06:00,104,111346
22:16:00,66,112037
22:26:00,66,112690
22:36:00,68,113343
22:46:00,68,114035
22:56:00,63,114704
23:06:00,66,115362
23:16:00,67,116007
23:26:00,62,116647
23:36:00,76,117347
23:46:00,65,118009
23:56:00,63,118653
