time,elevation,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,0,0
08:00:00,0,0
08:10:00,0,0
08:20:00,0,0
08:30:00,0,0
08:40:00,0,0
08:50:00,0,0
09:00:00,0,0
09:10:00,0,0
09:20:00,0,0
09:30:00,0,0
09:40:00,0,0
09:50:00,0,0
10:00:00,0,10
10:10:00,0,30
10:20:00,0,30
10:30:00,0,30
10:40:00,0,30
10:50:00,0,40
11:00:00,0,40
11:10:00,0,40
11:20:00,0,40
11:30:00,0,40
11:40:00,0,40
11:50:00,0,40
12:00:00,0,40
12:10:00,0,40
12:20:00,0,50
12:30:00,0,50
12:40:00,20,110
12:50:00,0,110
13:00:00,0,110
13:10:00,0,110
13:20:00,0,110
13:30:00,0,110
13:40:00,0,110
13:50:00,0,110
14:00:00,0,120
14:10:00,0,120
14:20:00,0,140
14:30:00,0,150
14:40:00,0,170
14:50:00,0,170
15:00:00,0,170
15:10:00,0,210
15:20:00,0,250
15:30:00,0,280
15:40:00,0,340
15:50:00,0,350
16:00:00,0,390
16:10:00,0,400
16:20:00,0,400
16:30:00,0,400
16:40:00,0,400
16:50:00,0,400
17:00:00,0,410
17:10:00,0,410
17:20:00,0,420
17:30:00,0,420
17:40:00,0,420
17:50:00,0,420
18:00:00,0,420
18:10:00,0,420
18:20:00,0,420
18:30:00,0,420
18:40:00,0,420
18:50:00,0,420
19:00:00,0,420
19:10:00,0,420
19:20:00,0,420
19:30:00,0,420
19:40:00,0,420
19:50:00,0,420
20:00:00,0,420
20:10:00,0,420
20:20:00,0,420
20:30:00,0,420
20:40:00,0,420
20:50:00,0,420
21:00:00,0,420
21:10:00,0,420
21:20:00,10,430
21:30:00,0,430
21:40:00,0,430
21:50:00,0,430
22:00:00,0,430
22:10:00,0,440
22:20:00,0,440
22:30:00,0,440
22:40:00,0,440
22:50:00,0,440
23:00:00,0,440
23:10:00,0,440
23:20:00,0,440
23:30:00,0,460
23:40:00,0,460
23:50:00,0,460
