time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,9
02:50:00,0,9
03:00:00,0,9
03:10:00,0,9
03:20:00,0,9
03:30:00,0,9
03:40:00,0,9
03:50:00,0,9
04:00:00,0,9
04:10:00,0,9
04:20:00,0,9
04:30:00,0,9
04:40:00,0,9
04:50:00,0,9
05:00:00,0,9
05:10:00,0,9
05:20:00,0,9
05:30:00,0,9
05:40:00,0,9
05:50:00,0,9
06:00:00,0,9
06:10:00,0,9
06:20:00,0,9
06:30:00,0,9
06:40:00,0,9
06:50:00,0,9
07:00:00,0,9
07:10:00,0,9
07:20:00,0,9
07:30:00,0,21
07:40:00,8,67
07:50:00,10,137
08:00:00,0,149
08:10:00,20,227
08:20:00,0,330
08:30:00,0,330
08:40:00,0,330
08:50:00,28,376
09:00:00,0,392
09:10:00,0,402
09:20:00,110,746
09:30:00,0,1490
09:40:00,54,1755
09:50:00,0,2558
10:00:00,9,2644
10:10:00,0,2668
10:20:00,0,2668
10:30:00,0,2668
10:40:00,9,2677
10:50:00,0,2684
11:00:00,0,2695
11:10:00,10,2705
11:20:00,0,2705
11:30:00,0,2705
11:40:00,31,2781
11:50:00,0,2781
12:00:00,0,2781
12:10:00,0,2781
12:20:00,0,2781
12:30:00,0,2781
12:40:00,0,2781
12:50:00,0,2781
13:00:00,0,2781
13:10:00,0,2781
13:20:00,47,2828
13:30:00,112,3482
13:40:00,0,3705
13:50:00,14,3726
14:00:00,112,4768
14:10:00,38,5144
14:20:00,119,5816
14:30:00,0,6363
14:40:00,6,6369
14:50:00,0,6424
15:00:00,0,6424
15:10:00,0,6424
15:20:00,0,6424
15:30:00,0,6424
15:40:00,0,6424
15:50:00,77,6559
16:00:00,113,7480
16:10:00,1,8196
16:20:00,0,8235
16:30:00,0,8235
16:40:00,0,8235
16:50:00,0,8235
17:00:00,0,8257
17:10:00,0,8257
17:20:00,0,8257
17:30:00,0,8257
17:40:00,0,8267
17:50:00,0,8267
18:00:00,0,8267
18:10:00,0,8267
18:20:00,0,8291
18:30:00,4,8295
18:40:00,0,8295
18:50:00,0,8356
19:00:00,0,8387
19:10:00,0,8394
19:20:00,0,8394
19:30:00,2,8404
19:40:00,0,8413
19:50:00,0,8413
20:00:00,0,8423
20:10:00,79,8767
20:20:00,0,8834
20:30:00,99,9022
20:40:00,0,9205
20:50:00,30,9407
21:00:00,17,9498
21:10:00,0,9553
21:20:00,0,9553
21:30:00,0,9553
21:40:00,0,9553
21:50:00,0,9553
22:00:00,0,9553
22:10:00,0,9553
22:20:00,0,9553
22:30:00,0,9553
22:40:00,0,9553
22:50:00,0,9553
23:00:00,0,9553
23:10:00,0,9553
23:20:00,0,9553
23:30:00,0,9553
23:40:00,0,9553
23:50:00,0,9553
