time,steps,total
00:00:00,112,112
00:10:00,106,782
00:20:00,0,1358
00:30:00,107,1669
00:40:00,108,2492
00:50:00,0,2860
01:00:00,0,2867
01:10:00,0,2907
01:20:00,0,2907
01:30:00,0,2907
01:40:00,0,2907
01:50:00,0,2907
02:00:00,0,2907
02:10:00,0,2907
02:20:00,0,2907
02:30:00,0,2907
02:40:00,0,2907
02:50:00,0,2907
03:00:00,0,2907
03:10:00,0,2907
03:20:00,0,2907
03:30:00,0,2907
03:40:00,0,2907
03:50:00,0,2907
04:00:00,0,2924
04:10:00,0,2924
04:20:00,0,2924
04:30:00,9,2933
04:40:00,0,2933
04:50:00,0,2933
05:00:00,0,2933
05:10:00,0,2933
05:20:00,0,2933
05:30:00,0,2933
05:40:00,0,2933
05:50:00,0,2933
06:00:00,0,2933
06:10:00,0,2933
06:20:00,0,2933
06:30:00,0,2933
06:40:00,0,2933
06:50:00,0,2933
07:00:00,0,2933
07:10:00,0,2933
07:20:00,0,2933
07:30:00,0,2940
07:40:00,0,2940
07:50:00,0,2940
08:00:00,0,2940
08:10:00,0,2940
08:20:00,0,2940
08:30:00,0,2940
08:40:00,0,2940
08:50:00,9,2972
09:00:00,16,3003
09:10:00,0,3078
09:20:00,0,3078
09:30:00,0,3088
09:40:00,0,3114
09:50:00,0,3888
10:00:00,0,4101
10:10:00,91,4991
10:20:00,4,5124
10:30:00,54,5758
10:40:00,39,6224
10:50:00,0,6233
11:00:00,0,6478
11:10:00,0,6478
11:20:00,0,6478
11:30:00,0,6489
11:40:00,79,6966
11:50:00,0,7030
12:00:00,0,7118
12:10:00,63,7560
12:20:00,29,8086
12:30:00,0,8101
12:40:00,77,8284
12:50:00,33,8510
13:00:00,38,8743
13:10:00,0,8757
13:20:00,0,8757
13:30:00,0,8757
13:40:00,0,8757
13:50:00,0,8757
14:00:00,0,8757
14:10:00,0,8757
14:20:00,0,8757
14:30:00,0,8757
14:40:00,0,8757
14:50:00,0,8757
15:00:00,0,8757
15:10:00,0,8757
15:20:00,0,8766
15:30:00,0,8766
15:40:00,0,8766
15:50:00,0,8766
16:00:00,0,8766
16:10:00,0,8766
16:20:00,0,8766
16:30:00,0,8766
16:40:00,0,8766
16:50:00,0,8766
17:00:00,0,8766
17:10:00,0,8771
17:20:00,0,8771
17:30:00,0,8771
17:40:00,0,8771
17:50:00,0,8771
18:00:00,0,8771
18:10:00,0,8776
18:20:00,0,8776
18:30:00,0,8776
18:40:00,0,8776
18:50:00,0,8776
19:00:00,0,8783
19:10:00,0,8783
19:20:00,0,8783
19:30:00,0,8783
19:40:00,0,8790
19:50:00,0,8790
20:00:00,0,8801
20:10:00,0,8801
20:20:00,0,8810
20:30:00,8,8818
20:40:00,0,8818
20:50:00,0,8818
21:00:00,0,8818
21:10:00,0,8818
21:20:00,0,8818
21:30:00,0,8818
21:40:00,0,8818
21:50:00,0,8828
22:00:00,12,8885
22:10:00,94,9442
22:20:00,0,9521
22:30:00,0,9521
22:40:00,41,10025
22:50:00,7,10053
23:00:00,0,10639
23:10:00,0,10817
23:20:00,0,10817
23:30:00,14,11320
23:40:00,0,11436
23:50:00,0,11444
