time,heart,total
00:00:00,63,63
00:10:00,62,677
00:20:00,64,1310
00:30:00,62,1948
00:40:00,63,2592
00:50:00,81,3265
01:00:00,71,3955
01:10:00,66,4655
01:20:00,68,5314
01:30:00,74,5979
01:40:00,64,6601
01:50:00,63,7241
02:00:00,65,7888
02:10:00,65,8542
02:20:00,64,9182
02:30:00,68,9839
02:40:00,70,10536
02:50:00,66,11196
03:00:00,66,11844
03:10:00,64,12485
03:20:00,60,13117
03:30:00,72,13751
03:40:00,64,14369
03:50:00,65,15023
04:00:00,69,15643
04:10:00,64,16364
04:20:00,71,17043
04:30:00,75,17775
04:40:00,58,18396
04:50:00,60,18996
05:00:00,60,19593
05:10:00,60,20197
05:20:00,60,20799
05:30:00,59,21390
05:40:00,60,21983
05:50:00,58,22592
06:00:00,61,23198
06:10:00,59,23809
06:20:00,61,24398
06:30:00,60,25004
06:40:00,56,25564
06:50:00,62,26170
07:00:00,58,26740
07:10:00,56,27299
07:20:00,59,27884
07:30:00,60,28465
07:40:00,57,29049
07:50:00,87,29746
08:00:00,88,30608
08:10:00,68,31295
08:20:00,113,32046
08:31:00,77,33225
08:41:00,69,34018
08:52:00,121,35116
09:02:00,68,36003
09:12:00,65,36669
09:22:00,87,37448
09:32:00,69,38147
09:42:00,62,38783
09:52:00,94,39685
10:02:00,100,40468
10:12:00,76,41417
10:22:00,101,42207
10:32:00,75,43087
10:42:00,108,43977
10:52:00,89,45110
11:02:00,88,46030
11:12:00,69,46750
11:22:00,67,47409
11:32:00,63,48067
11:42:00,62,48715
11:52:00,71,49351
12:02:00,65,50016
12:12:00,70,50700
12:22:00,88,51423
12:32:00,68,52120
12:42:00,71,52776
12:52:00,108,53748
13:02:00,67,54534
13:12:00,106,55382
13:22:00,84,56349
13:32:00,70,57058
13:42:00,63,57725
13:52:00,61,58354
14:02:00,63,58975
14:12:00,65,59602
14:22:00,62,60232
14:32:00,60,60847
14:42:00,60,61449
14:52:00,59,62069
15:02:00,62,62687
15:12:00,66,63370
15:22:00,60,64006
15:32:00,63,64638
15:42:00,63,65276
15:52:00,67,65954
16:04:00,89,66860
16:14:00,104,67727
16:24:00,115,68808
16:34:00,119,69939
16:44:00,109,71037
16:54:00,83,71954
17:05:00,112,73029
17:15:00,120,74196
17:26:00,113,75299
17:36:00,112,76442
17:46:00,75,77381
17:56:00,63,78035
18:06:00,73,78771
18:16:00,73,79486
18:26:00,96,80355
18:36:00,98,81428
18:47:00,113,82467
18:58:00,78,83404
19:08:00,84,84203
19:18:00,75,85113
19:28:00,72,85867
19:38:00,107,86835
19:48:00,91,87908
19:59:00,107,88827
20:09:00,89,89891
20:19:00,83,90819
20:29:00,88,91705
20:39:00,95,92661
20:49:00,82,93513
20:59:00,84,94325
21:09:00,79,95179
21:19:00,77,95946
21:29:00,75,96703
21:39:00,107,97626
21:49:00,104,98656
21:59:00,90,99630
22:09:00,81,100549
22:19:00,78,101328
22:29:00,81,102109
22:39:00,71,102899
22:49:00,85,103685
22:59:00,103,104705
23:09:00,106,105677
23:19:00,95,106683
23:29:00,99,107623
