time,heart,total
00:00:00,66,66
00:10:00,65,696
00:20:00,65,1331
00:30:00,64,2017
00:40:00,60,2695
00:50:00,61,3308
01:00:00,62,3923
01:10:00,60,4551
01:20:00,61,5179
01:30:00,63,5797
01:40:00,62,6416
01:50:00,60,7044
02:00:00,67,7678
02:10:00,62,8280
02:20:00,56,8899
02:30:00,61,9516
02:40:00,61,10182
02:50:00,64,10802
03:00:00,64,11440
03:10:00,62,12070
03:20:00,64,12689
03:30:00,63,13311
03:40:00,60,13925
03:50:00,62,14534
04:00:00,63,15139
04:10:00,56,15765
04:20:00,62,16353
04:30:00,61,16966
04:40:00,61,17662
04:50:00,66,18307
05:00:00,66,18930
05:10:00,72,19623
05:20:00,60,20231
05:30:00,58,20817
05:40:00,58,21404
05:50:00,57,21979
06:00:00,59,22566
06:10:00,60,23158
06:20:00,62,23757
06:30:00,61,24369
06:40:00,59,25002
06:50:00,60,25616
07:00:00,60,26219
07:10:00,70,26961
07:20:00,71,27692
07:30:00,70,28395
07:40:00,67,29067
07:50:00,65,29734
08:00:00,69,30431
08:10:00,67,31135
08:20:00,68,31859
08:30:00,66,32523
08:40:00,65,33178
08:50:00,67,33822
09:00:00,72,34527
09:10:00,69,35199
09:20:00,73,35911
09:30:00,74,36636
09:40:00,97,37628
09:50:00,88,38563
10:00:00,75,39385
10:10:00,79,40132
10:20:00,105,41045
10:30:00,107,42066
10:40:00,79,42940
10:50:00,105,43895
11:00:00,72,44727
11:10:00,82,45551
11:20:00,80,46355
11:30:00,73,47138
11:40:00,70,47873
11:50:00,81,48601
12:01:00,75,50013
12:11:00,73,50774
12:21:00,100,51598
12:31:00,78,52485
12:41:00,112,53317
12:51:00,69,54113
13:01:00,96,54913
13:11:00,72,55714
13:21:00,82,56502
13:31:00,95,57352
13:41:00,80,58179
13:51:00,97,59051
14:01:00,73,59907
14:11:00,77,60682
14:21:00,76,61430
14:31:00,73,62160
14:41:00,70,62938
14:51:00,101,63778
15:01:00,109,64842
15:11:00,105,65842
15:21:00,100,66876
15:31:00,97,67887
15:41:00,83,68716
15:51:00,80,69526
16:01:00,72,70292
16:11:00,85,71076
16:21:00,88,71967
16:31:00,80,72828
16:41:00,83,73643
16:51:00,77,74446
17:01:00,75,75207
17:11:00,82,75984
17:21:00,96,76847
17:31:00,105,77814
17:41:00,115,78836
17:51:00,92,79836
18:01:00,93,80750
18:11:00,91,81525
18:21:00,106,82442
18:31:00,84,83274
18:41:00,81,84135
18:51:00,92,85043
19:22:00,107,85970
19:32:00,106,87022
19:42:00,100,88012
19:52:00,110,89036
20:03:00,75,90028
20:13:00,85,90825
20:24:00,77,91635
20:34:00,89,92472
20:44:00,78,93331
20:54:00,85,94149
21:04:00,82,94980
21:14:00,84,95837
21:24:00,84,96655
21:34:00,77,97447
21:44:00,83,98315
21:54:00,76,99112
22:04:00,79,99923
22:14:00,86,100716
22:24:00,83,101541
22:34:00,76,102321
22:44:00,77,103122
22:54:00,77,103920
23:04:00,82,104712
23:14:00,80,105485
23:24:00,80,106259
23:34:00,78,107042
23:44:00,76,107837
23:54:00,75,108595
