time,heart,total
00:00:00,71,71
00:10:00,75,813
00:20:00,65,1546
00:30:00,64,2206
00:40:00,67,2866
00:50:00,62,3505
01:00:00,62,4124
01:10:00,61,4743
01:20:00,63,5376
01:30:00,62,6005
01:40:00,61,6619
01:50:00,61,7234
02:00:00,61,7844
02:10:00,61,8440
02:20:00,64,9090
02:30:00,64,9729
02:40:00,62,10345
02:50:00,61,10954
03:00:00,61,11559
03:10:00,60,12149
03:20:00,58,12721
03:30:00,57,13308
03:40:00,58,13885
03:50:00,58,14471
04:00:00,58,15067
04:10:00,58,15648
04:20:00,60,16241
04:30:00,58,16827
04:51:00,56,17394
05:01:00,57,17985
05:11:00,58,18563
05:21:00,56,19164
05:31:00,59,19757
05:41:00,61,20367
05:51:00,59,20959
06:01:00,62,21557
06:11:00,60,22160
06:21:00,58,22751
06:31:00,60,23340
06:41:00,60,23955
06:51:00,61,24575
07:01:00,62,25200
07:11:00,58,25789
07:21:00,70,26421
07:44:00,76,27116
07:54:00,93,28000
08:04:00,95,28936
08:14:00,93,29884
08:24:00,102,30941
08:34:00,89,31908
08:44:00,82,32823
08:54:00,89,33828
09:04:00,96,34669
09:15:00,78,35510
09:25:00,78,36281
09:35:00,79,37183
09:45:00,75,38004
09:55:00,83,38788
10:05:00,72,39541
10:16:00,71,40335
10:26:00,71,41079
10:36:00,76,41802
10:46:00,77,42545
10:56:00,74,43291
11:06:00,77,44049
11:16:00,63,44753
11:26:00,69,45439
11:36:00,64,46123
11:46:00,66,46810
11:56:00,75,47519
12:08:00,75,48283
12:18:00,63,48991
12:28:00,66,49690
12:38:00,70,50376
12:48:00,79,51127
12:58:00,79,51903
13:10:00,180,53000
13:24:00,76,53775
13:34:00,72,54542
13:44:00,74,55251
13:54:00,107,56026
14:04:00,81,56812
14:14:00,71,57610
14:24:00,66,58319
14:34:00,76,59070
14:44:00,72,59817
14:54:00,72,60514
15:04:00,66,61210
15:14:00,108,62041
15:24:00,84,63144
15:34:00,76,63912
15:44:00,99,64726
15:54:00,115,65665
16:04:00,85,66707
16:14:00,115,67684
16:24:00,98,68844
16:34:00,74,69712
16:44:00,102,70531
16:54:00,64,71294
17:04:00,69,72017
17:14:00,71,72753
17:24:00,63,73434
17:34:00,75,74110
17:44:00,69,74795
17:54:00,78,75547
18:04:00,64,76222
18:14:00,68,76896
18:25:00,75,77596
18:35:00,73,78310
18:45:00,70,78982
18:55:00,88,79752
19:05:00,80,80566
19:15:00,78,81339
19:25:00,91,82137
19:35:00,66,82894
19:45:00,70,83591
19:55:00,71,84304
20:05:00,73,85009
20:15:00,69,85774
20:25:00,71,86501
20:35:00,76,87223
20:45:00,73,87943
20:55:00,70,88672
21:05:00,71,89409
21:15:00,80,90159
21:25:00,81,90931
21:35:00,64,91673
21:45:00,68,92302
21:55:00,71,92965
22:05:00,69,93624
22:15:00,68,94269
22:25:00,62,94919
22:35:00,56,95575
22:45:00,58,96168
22:55:00,59,96755
23:05:00,63,97351
23:15:00,59,97942
23:25:00,57,98529
23:35:00,56,99102
23:45:00,60,99679
23:55:00,61,100304
