time,elevation,total
00:00:00,0,0
00:10:00,0,20
00:20:00,0,30
00:30:00,0,30
00:40:00,0,30
00:50:00,0,30
01:00:00,0,40
01:10:00,0,40
01:20:00,0,40
01:30:00,0,40
01:40:00,0,40
01:50:00,0,40
02:00:00,0,40
02:10:00,0,40
02:20:00,0,40
02:30:00,0,40
02:40:00,0,40
02:50:00,0,40
03:00:00,0,40
03:10:00,0,40
03:20:00,0,40
03:30:00,0,40
03:40:00,0,40
03:50:00,0,40
04:00:00,0,40
04:10:00,0,40
04:20:00,0,40
04:30:00,0,40
04:40:00,0,40
04:50:00,0,40
05:00:00,0,40
05:10:00,0,40
05:20:00,0,40
05:30:00,0,40
05:40:00,0,40
05:50:00,0,40
06:00:00,0,40
06:10:00,0,40
06:20:00,0,40
06:30:00,0,40
06:40:00,0,40
06:50:00,0,40
07:00:00,0,40
07:10:00,0,40
07:20:00,0,40
07:30:00,0,40
07:40:00,0,40
07:50:00,0,40
08:00:00,0,40
08:10:00,0,40
08:20:00,0,40
08:30:00,0,40
08:40:00,0,40
08:50:00,0,40
09:00:00,0,40
09:10:00,0,40
09:20:00,0,40
09:30:00,0,40
09:40:00,0,40
09:50:00,0,40
10:00:00,0,40
10:10:00,0,40
10:20:00,0,40
10:30:00,0,40
10:40:00,0,40
10:50:00,0,40
11:00:00,0,40
11:10:00,0,40
11:20:00,0,40
11:30:00,0,40
11:40:00,0,40
11:50:00,0,40
12:00:00,0,40
12:10:00,0,40
12:20:00,0,40
12:30:00,0,40
12:40:00,10,50
12:50:00,0,50
13:00:00,0,50
13:10:00,0,50
13:20:00,0,50
13:30:00,0,50
13:40:00,0,50
13:50:00,0,50
14:00:00,0,50
14:10:00,0,50
14:20:00,0,50
14:30:00,0,50
14:40:00,0,50
14:50:00,0,50
15:00:00,0,60
15:10:00,0,60
15:20:00,0,60
15:30:00,0,60
15:40:00,0,60
15:50:00,0,60
16:00:00,0,60
16:10:00,0,60
16:20:00,0,60
16:30:00,0,60
16:40:00,0,60
16:50:00,0,60
17:00:00,0,60
17:10:00,0,60
17:20:00,0,60
17:30:00,0,60
17:40:00,0,60
17:50:00,0,60
18:00:00,0,60
18:10:00,10,70
18:20:00,0,70
18:30:00,0,70
18:40:00,0,70
18:50:00,0,70
19:00:00,0,70
19:10:00,0,70
19:20:00,0,70
19:30:00,0,70
19:40:00,0,70
19:50:00,0,70
20:00:00,0,70
20:10:00,0,70
20:20:00,0,70
20:30:00,0,70
20:40:00,0,70
20:50:00,0,70
21:00:00,0,70
21:10:00,10,80
21:20:00,0,80
21:30:00,0,90
21:40:00,0,90
21:50:00,0,90
22:00:00,0,90
22:10:00,0,90
22:20:00,0,90
22:30:00,0,90
22:40:00,0,90
22:50:00,0,90
23:00:00,0,90
23:10:00,0,90
23:20:00,0,90
23:30:00,0,100
23:40:00,0,120
23:50:00,0,120
