time,floors,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,0,0
08:00:00,0,0
08:10:00,0,0
08:20:00,0,0
08:30:00,0,2
08:40:00,0,2
08:50:00,0,5
09:00:00,0,5
09:10:00,0,5
09:20:00,0,6
09:30:00,0,6
09:40:00,0,6
09:50:00,0,6
10:00:00,0,6
10:10:00,0,6
10:20:00,0,6
10:30:00,0,6
10:40:00,0,6
10:50:00,0,6
11:00:00,0,6
11:10:00,0,6
11:20:00,0,6
11:30:00,0,6
11:40:00,0,6
11:50:00,0,6
12:00:00,0,6
12:10:00,0,6
12:20:00,0,6
12:30:00,0,6
12:40:00,0,6
12:50:00,0,6
13:00:00,0,6
13:10:00,0,6
13:20:00,0,6
13:30:00,0,8
13:40:00,0,9
13:50:00,0,16
14:00:00,0,18
14:10:00,0,18
14:20:00,0,20
14:30:00,0,25
14:40:00,0,25
14:50:00,0,25
15:00:00,0,26
15:10:00,0,30
15:20:00,0,31
15:30:00,2,35
15:40:00,0,37
15:50:00,0,37
16:00:00,0,37
16:10:00,0,37
16:20:00,0,37
16:30:00,0,37
16:40:00,0,37
16:50:00,0,37
17:00:00,0,37
17:10:00,0,37
17:20:00,0,37
17:30:00,0,37
17:40:00,0,37
17:50:00,0,37
18:00:00,0,37
18:10:00,0,37
18:20:00,0,37
18:30:00,0,37
18:40:00,0,38
18:50:00,0,38
19:00:00,0,38
19:10:00,0,38
19:20:00,0,38
19:30:00,0,38
19:40:00,0,38
19:50:00,0,38
20:00:00,0,38
20:10:00,0,38
20:20:00,0,38
20:30:00,0,39
20:40:00,0,39
20:50:00,1,43
21:00:00,0,43
21:10:00,0,43
21:20:00,0,43
21:30:00,0,43
21:40:00,0,43
21:50:00,0,43
22:00:00,0,43
22:10:00,0,43
22:20:00,2,50
22:30:00,0,51
22:40:00,0,51
22:50:00,0,51
23:00:00,0,51
23:10:00,0,51
23:20:00,0,51
23:30:00,0,51
23:40:00,0,51
23:50:00,0,55
