time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,23,23
08:00:00,0,84
08:10:00,12,165
08:20:00,113,764
08:30:00,0,1374
08:40:00,0,1552
08:50:00,100,2402
09:00:00,41,3100
09:10:00,0,3373
09:20:00,0,3407
09:30:00,0,3416
09:40:00,0,3416
09:50:00,0,3416
10:00:00,0,3416
10:10:00,0,3422
10:20:00,0,3422
10:30:00,0,3422
10:40:00,0,3422
10:50:00,0,3422
11:00:00,0,3544
11:10:00,0,3544
11:20:00,0,3544
11:30:00,0,3544
11:40:00,0,3551
11:50:00,0,3551
12:00:00,0,3551
12:10:00,0,3551
12:20:00,0,3551
12:30:00,0,3551
12:40:00,0,3551
12:50:00,0,3565
13:00:00,7,3572
13:10:00,21,3593
13:20:00,0,3593
13:30:00,0,3593
13:40:00,0,3593
13:50:00,0,3593
14:00:00,0,3593
14:10:00,0,3593
14:20:00,0,3593
14:30:00,0,3598
14:40:00,0,3598
14:50:00,0,3598
15:00:00,12,3666
15:10:00,0,3673
15:20:00,0,3673
15:30:00,0,3673
15:40:00,0,3688
15:50:00,0,3688
16:00:00,0,3688
16:10:00,11,3699
16:20:00,0,3785
16:30:00,0,3785
16:40:00,111,4345
16:50:00,95,4796
17:00:00,110,5184
17:10:00,0,5900
17:20:00,0,5910
17:30:00,0,5938
17:40:00,0,5990
17:50:00,0,6013
18:00:00,0,6013
18:10:00,12,6071
18:20:00,113,7050
18:30:00,114,8163
18:40:00,79,9193
18:50:00,0,9428
19:00:00,0,9504
19:10:00,0,9647
19:20:00,45,9810
19:30:00,87,10671
19:40:00,116,11730
19:50:00,113,12814
20:00:00,0,13164
20:10:00,7,13221
20:20:00,0,13261
20:30:00,0,13275
20:40:00,0,13275
20:50:00,0,13283
21:00:00,0,13283
21:10:00,24,13314
21:20:00,14,13495
21:30:00,0,13601
21:40:00,0,13624
21:50:00,0,13624
22:00:00,5,13657
22:10:00,0,13704
22:20:00,0,13740
22:30:00,0,13746
22:40:00,0,13746
22:50:00,0,13746
23:00:00,0,13746
23:10:00,0,13746
23:20:00,0,13746
23:30:00,0,13746
23:40:00,0,13746
23:50:00,0,13746
