time,steps,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,27
02:50:00,0,27
03:00:00,0,27
03:10:00,0,27
03:20:00,0,27
03:30:00,0,27
03:40:00,0,27
03:50:00,0,27
04:00:00,0,27
04:10:00,0,27
04:20:00,0,36
04:30:00,0,36
04:40:00,0,36
04:50:00,0,36
05:00:00,0,43
05:10:00,0,43
05:20:00,0,43
05:30:00,0,43
05:40:00,0,43
05:50:00,0,43
06:00:00,0,43
06:10:00,0,43
06:20:00,0,43
06:30:00,0,43
06:40:00,0,43
06:50:00,0,43
07:00:00,0,43
07:10:00,0,95
07:20:00,0,101
07:30:00,0,101
07:40:00,0,101
07:50:00,0,101
08:00:00,0,101
08:10:00,0,101
08:20:00,0,135
08:30:00,0,135
08:40:00,0,259
08:50:00,0,259
09:00:00,0,259
09:10:00,0,259
09:20:00,0,297
09:30:00,0,311
09:40:00,0,366
09:50:00,9,379
10:00:00,0,397
10:10:00,0,397
10:20:00,0,421
10:30:00,53,612
10:40:00,0,665
10:50:00,29,886
11:00:00,0,903
11:10:00,0,909
11:20:00,0,909
11:30:00,0,909
11:40:00,0,920
11:50:00,0,970
12:00:00,0,970
12:10:00,0,970
12:20:00,21,1048
12:30:00,0,1191
12:40:00,48,1318
12:50:00,0,1378
13:00:00,13,1485
13:10:00,0,1504
13:20:00,0,1504
13:30:00,29,1533
13:40:00,0,1614
13:50:00,14,1696
14:00:00,0,1696
14:10:00,0,1748
14:20:00,0,1748
14:30:00,0,1748
14:40:00,0,1831
14:50:00,58,1946
15:00:00,0,1999
15:10:00,0,2012
15:20:00,0,2037
15:30:00,72,2147
15:40:00,0,2178
15:50:00,0,2178
16:00:00,0,2178
16:10:00,0,2178
16:20:00,7,2298
16:30:00,0,2373
16:40:00,0,2373
16:50:00,0,2373
17:00:00,0,2373
17:10:00,0,2379
17:20:00,41,2438
17:30:00,14,2467
17:40:00,52,2713
17:50:00,11,3155
18:00:00,0,3241
18:10:00,23,3346
18:20:00,28,3499
18:30:00,16,3540
18:40:00,59,3781
18:50:00,10,4006
19:00:00,0,4044
19:10:00,0,4044
19:20:00,38,4093
19:30:00,0,4274
19:40:00,19,4355
19:50:00,0,4441
20:00:00,11,4577
20:10:00,4,4609
20:20:00,0,4609
20:30:00,47,4671
20:40:00,0,4675
20:50:00,0,4675
21:00:00,0,4675
21:10:00,0,4675
21:20:00,0,4675
21:30:00,0,4675
21:40:00,0,4680
21:50:00,0,4680
22:00:00,7,4687
22:10:00,0,4687
22:20:00,0,4706
22:30:00,0,4734
22:40:00,0,4788
22:50:00,0,4798
23:00:00,0,4798
23:10:00,0,4798
23:20:00,0,4798
23:30:00,0,4798
23:40:00,0,4809
23:50:00,0,4809
