time,heart,total
00:00:00,65,65
00:10:00,70,803
00:20:00,71,1461
00:30:00,65,2148
00:40:00,72,2828
00:50:00,68,3522
01:00:00,71,4221
01:10:00,71,4933
01:20:00,73,5649
01:30:00,73,6408
01:40:00,66,7137
01:50:00,66,7798
02:00:00,66,8472
02:10:00,69,9153
02:20:00,63,9797
02:30:00,64,10425
02:40:00,73,11075
02:50:00,63,11708
03:00:00,63,12337
03:10:00,65,12975
03:20:00,73,13685
03:30:00,66,14355
03:40:00,65,14996
03:50:00,65,15633
04:00:00,64,16278
04:10:00,63,16914
04:20:00,62,17536
04:30:00,61,18158
04:40:00,57,18776
04:50:00,57,19353
05:00:00,60,19964
05:10:00,63,20568
05:20:00,66,21207
05:30:00,63,21848
05:40:00,64,22478
05:50:00,58,23096
06:00:00,59,23709
06:10:00,58,24325
06:20:00,59,24912
06:30:00,65,25546
06:40:00,72,26183
06:50:00,61,26780
07:00:00,61,27407
07:10:00,60,28004
07:20:00,57,28584
07:30:00,64,29170
07:40:00,72,29771
07:50:00,61,30385
08:00:00,68,31019
08:10:00,83,31723
08:20:00,69,32527
08:30:00,88,33322
08:40:00,94,34247
08:50:00,80,35013
09:00:00,106,36001
09:13:00,109,37056
09:26:00,107,38116
09:36:00,91,39123
09:47:00,109,40114
09:57:00,96,41067
10:08:00,111,42074
10:19:00,99,43107
10:30:00,110,44094
10:42:00,94,45126
10:53:00,97,46094
11:03:00,90,47002
11:13:00,96,47917
11:23:00,115,48972
11:34:00,99,50038
11:45:00,93,50997
11:56:00,102,51968
12:09:00,99,52931
12:19:00,102,53987
12:29:00,95,55031
12:39:00,103,55950
12:49:00,77,56873
12:59:00,76,57627
13:09:00,84,58408
13:19:00,73,59158
13:29:00,80,59932
13:39:00,83,60693
13:49:00,80,61453
13:59:00,76,62193
14:09:00,75,62950
14:19:00,75,63673
14:29:00,97,64460
14:39:00,94,65507
14:49:00,99,66477
14:59:00,86,67381
15:09:00,106,68290
15:20:00,102,69356
15:34:00,80,70234
15:44:00,82,71052
15:54:00,117,72071
16:04:00,116,73087
16:14:00,124,74275
16:24:00,93,75326
16:34:00,110,76408
16:44:00,106,77459
16:54:00,108,78502
17:05:00,86,79547
17:15:00,105,80453
17:25:00,87,81398
17:35:00,83,82236
17:45:00,107,83153
17:55:00,107,84238
18:05:00,81,85199
18:15:00,79,85986
18:25:00,90,86837
18:35:00,84,87709
18:45:00,85,88558
18:55:00,96,89462
19:05:00,95,90374
19:15:00,111,91328
19:25:00,104,92375
19:35:00,103,93361
19:45:00,104,94426
19:55:00,97,95500
20:05:00,103,96507
20:15:00,89,97572
20:25:00,105,98513
20:35:00,98,99521
20:45:00,107,100556
20:55:00,103,101546
21:05:00,87,102493
21:15:00,78,103280
21:25:00,88,104045
21:35:00,104,105084
21:45:00,96,106049
21:55:00,95,107012
22:05:00,103,108044
22:16:00,110,109142
22:26:00,102,110160
22:36:00,64,110970
22:46:00,79,111683
22:56:00,95,112659
23:06:00,105,113655
23:16:00,109,114549
23:26:00,94,115610
23:36:00,79,116499
23:47:00,127,117467
23:59:00,76,118355
